CH1	CH2	CH3	CH4	CH5
0.0076447	0.003067	0.11623	-0.003891	-0.00050354
0.017303	-0.0090637	0.17693	-0.00059509	0.010483
0.019775	-0.00032043	0.16219	-0.0021973	0.0015106
0.015244	-0.0036621	0.099014	0.0044403	0.010757
0.0032501	-0.012863	0.053421	0.0015106	-0.0033875
-0.0058594	0.0016937	0.02623	0.0032501	0.0071869
-0.014923	-0.0036163	-0.086517	0.0070953	-0.0018311
-0.016068	-0.01268	-0.20311	0.0052643	0.0064545
-0.018448	-0.0041199	-0.1035	0.0013733	-0.00032043
-0.014236	-0.002243	-0.042068	-0.0023346	0.0039368
-0.0075531	-0.013046	-0.0084686	-0.0058136	0.0055389
0.003891	-0.0056305	0.053558	0.00013733	-0.00027466
0.001236	-0.0040741	0.023758	-0.0023346	-0.00041199
-0.0010071	-0.011765	-0.0079651	-0.0027924	0.012726
-0.0070953	0.00013733	0.060333	0.0021515	0.0015106
-0.0073242	-0.00068665	0.12007	-9.1553e-05	0.0099335
-0.00068665	-0.00050354	0.1468	0.0036163	-0.0029755
0.0027008	-0.0089264	0.12122	0.0027924	0.00032043
0.0071869	-0.017807	-0.07338	0.00032043	-0.0033875
0.0062256	-0.0050812	-0.22563	-0.00022888	-0.00013733
0.0055847	-0.0066376	-0.39034	-0.0009613	0.00032043
0.0070038	-0.0032501	-0.33055	-0.0041199	0.0054474
0.018036	-0.006134	-0.13481	-0.00082397	0.00032043
0.027466	-0.0091553	0.026962	0.0056305	0.0080109
0.02124	-0.00032043	0.1024	0.003067	-0.00086975
0.020828	0.0032501	0.13362	-0.00045776	0.006546
0.014786	-0.0023346	0.14241	-0.00041199	0.00032043
0.0043945	-0.005722	0.13399	0.00032043	-0.00027466
-0.0014191	-0.011948	0.12506	-0.0011444	0.0072327
-0.0024261	-0.0035248	0.1002	0.0023346	-0.0033417
-0.0062714	-0.0018768	0.065186	0.004715	0.0051727
-0.0048981	-0.0044861	0.04866	0.0059967	-0.0039825
-0.0038452	-0.009201	0.026596	-0.0007782	0.0024261
-0.0079193	-0.011215	-0.0027008	-0.0026093	0.006134
-0.0083313	-0.0009613	-0.045547	0.0032501	0.0016937
-0.004715	-0.0019684	-0.054565	-0.0007782	-0.00032043
-0.0059509	-9.1553e-05	-0.033646	0.00013733	0.00027466
-0.0037079	-0.0051727	0.0078278	0.00086975	0.00032043
-0.0087433	-0.01149	0.022705	0.0070496	-0.0064087
-0.0075531	-0.0049896	0.020645	0.0054474	0.0095215
-0.0097046	-0.0062714	0.04454	0.0046692	0.0014191
-0.0072327	-0.014694	0.05397	0.004715	0.010849
-0.0038452	-0.0084686	0.077316	9.1553e-05	0.0091095
-0.0018311	-0.0016022	0.13976	-0.00036621	0.0072784
0.0065002	-0.0032043	0.12337	-0.0007782	0.0099335
0.013	-0.005722	0.053787	0.0058136	0.0042572
0.020233	-0.0090179	-0.077408	0.0061798	0.014969
0.015015	-0.00050354	-0.14589	0.00032043	0.0053558
0.0048981	-0.0035706	-0.1057	-0.001236	0.018814
-0.0044861	-0.015976	-0.17857	-0.010941	0.0046234
-0.0098419	-0.0048065	-0.24577	-0.0078735	0.013962
-0.011124	-0.003891	-0.23845	0.0053558	-0.00045776
-0.011719	-0.0059967	-0.19817	0.018906	0.00082397
-0.0032959	-0.0055389	-0.12053	0.014145	0.0037994
-0.00032043	-0.0088806	-0.015289	0.0094299	-0.0030212
-0.0010986	0.001236	0.062256	0.0034332	0.0067291
-0.0020599	-0.0026093	0.097504	-0.00041199	-0.0041656
0.0009613	-0.014969	0.11032	-0.0035248	0.0050812
0.0056305	-0.0047607	0.10258	-0.0060883	-0.0075531
0.0032043	-0.0009613	0.12163	-0.003891	0.0017853
0.0042114	-0.0060883	0.15111	-0.001236	-0.0049896
-0.0037994	-0.0037079	0.14754	-0.00022888	0.0041656
-0.0044403	-0.0071411	0.097687	0.0028839	0.0052643
-0.0048065	-0.0010071	0.05191	0.004715	0.0016022
